spec,dv,country,term,estimate,std_error,t_value,p_value
Baseline (p=3),p90p100,Egypt,"L(p90p100, 1)",1.4472091760774026,0.1651578432996814,8.762582189036095,6.804831516585839e-10
Baseline (p=3),p90p100,Egypt,"L(p90p100, 2)",-0.7102956745054324,0.15578022912425185,-4.559600910195694,7.557394171500755e-5
Baseline (p=3),p90p100,Egypt,public_debt,0.003064874541939083,0.008755118056410046,0.3500666150007126,0.7286560659418563
Baseline (p=3),p90p100,Egypt,growth,0.052308082733327134,0.054763232092983796,0.9551679244298802,0.34688244042041527
Baseline (p=3),p90p100,Egypt,life_exp,-0.008829790757099424,0.004838444972970323,-1.824923256630283,0.07766280669763446
Baseline (p=3),p90p100,Egypt,"L(life_exp, 1)",0.00908897537293928,0.004700735425463596,1.933522002473242,0.06234850934237111
Baseline (p=3),p90p100,Egypt,gdp_x_debt,-0.058024134747176215,0.056311599071760234,-1.030411774903313,0.3107894916522402
Baseline (p=3),p90p100,Egypt,"L(gdp_x_debt, 1)",-0.017865035452000275,0.01214687584660994,-1.4707514654466656,0.15143677791052676
Baseline (p=3),p90p100,El Salvador,(Intercept),0.2884765067934066,0.09264290353425453,3.1138543351757426,0.003670697956528743
Baseline (p=3),p90p100,El Salvador,"L(p90p100, 1)",0.5337900326264957,0.15096593108538212,3.5358310897615635,0.001166807284430459
Baseline (p=3),p90p100,El Salvador,public_debt,-0.0025744432810785537,0.014233756623200802,-0.18086885628508298,0.8575138116473583
Baseline (p=3),p90p100,El Salvador,growth,0.22893686402344768,0.1808907728618333,1.2656083027425207,0.21401379160805434
Baseline (p=3),p90p100,El Salvador,life_exp,-0.00084959374933775205,4.488785316822231e-4,-1.8927030128926046,0.06669098429148533
Baseline (p=3),p90p100,El Salvador,gdp_x_debt,-0.4025757080286673,0.32405265750044043,-1.2423157123101827,0.22237983986339538
Baseline (p=3),p90p100,Finland,(Intercept),0.04747620043817492,0.0847453573895737,0.5602218446012001,0.5790010610737344
Baseline (p=3),p90p100,Finland,"L(p90p100, 1)",0.8597624764022969,0.06878734349140758,12.49884692101378,2.8901399096686796e-14
Baseline (p=3),p90p100,Finland,public_debt,0.035527066917609866,0.014598073268936274,2.4336819156271186,0.020353174443646763
Baseline (p=3),p90p100,Finland,growth,0.14355378738041552,0.07637227874215048,1.8796582967634696,0.06874690130992739
Baseline (p=3),p90p100,Finland,life_exp,0.008667755080880682,0.006484573484404411,1.3366731214823744,0.19020557036478872
Baseline (p=3),p90p100,Finland,"L(life_exp, 1)",-0.008971681011769376,0.006348354578318602,-1.413229349603465,0.16667852581033069
Baseline (p=3),p90p100,Finland,gdp_x_debt,-0.018111918829590304,0.17809196746845335,-0.10169980761652594,0.9195923686828811
Baseline (p=3),p90p100,France,(Intercept),-0.02375318427932018,0.12398209663579267,-0.1915855992425831,0.8495551865976746
Baseline (p=3),p90p100,France,"L(p90p100, 1)",0.9943010817527667,0.14633524258197736,6.794679560501338,3.2742931657581646e-7
Baseline (p=3),p90p100,France,"L(p90p100, 2)",-0.14288135001905466,0.12135295826233877,-1.1774031063188108,0.24970055680165432
Baseline (p=3),p90p100,France,public_debt,-0.11201144049135602,0.03461228156041397,-3.2361761618010005,0.0032932455919213862
Baseline (p=3),p90p100,France,"L(public_debt, 1)",0.14539997473168004,0.05183155684691007,2.8052403511847825,0.009391724958709338
Baseline (p=3),p90p100,France,"L(public_debt, 2)",-0.03909150589067093,0.05307176618676496,-0.7365781977766471,0.46797351519996755
Baseline (p=3),p90p100,France,"L(public_debt, 3)",0.003112489345237704,0.033479429885419826,0.09296721467151332,0.9266422845046531
Baseline (p=3),p90p100,France,growth,0.13504834933513768,0.07839245817829432,1.7227211963169502,0.0968151209248061
Baseline (p=3),p90p100,France,life_exp,9.483734833819073e-4,0.0020374548221909023,0.46546969928005993,0.6454705949632343
Baseline (p=3),p90p100,France,gdp_x_debt,-0.16144539685390635,0.10580297175731294,-1.5259060702399174,0.13910713570404643
Baseline (p=3),p90p100,France,"L(gdp_x_debt, 1)",3.2267298300036424e-4,0.0696707436292035,0.004631398578400004,0.9963400451620007
Baseline (p=3),p90p100,France,"L(gdp_x_debt, 2)",-0.09645793741704309,0.06405963717361071,-1.5057521658392847,0.14418435420123224
Baseline (p=3),p90p100,France,"L(gdp_x_debt, 3)",0.1261804498252353,0.05436751455673352,2.3208794967730895,0.028401057586236674
Baseline (p=3),p90p100,Germany,(Intercept),0.027659608546389252,0.1099204682750422,0.2516329213334461,0.8028395919019509
Baseline (p=3),p90p100,Germany,"L(p90p100, 1)",0.7955849308761548,0.0837952064421579,9.494396692313547,4.3300099241655634e-11
Baseline (p=3),p90p100,Germany,public_debt,-0.04938649200319347,0.037668103162382935,-1.3110958040624952,0.19861166414273684
Baseline (p=3),p90p100,Germany,"L(public_debt, 1)",0.09466822161013867,0.04359086414697803,2.1717445492922542,0.036943947466825965
Baseline (p=3),p90p100,Germany,growth,0.18645362579582603,0.12065852310991597,1.5453000831609125,0.13153180872374454
Baseline (p=3),p90p100,Germany,life_exp,2.109593014154395e-4,0.0017968930656971497,0.11740225695266543,0.9072321032851842
Baseline (p=3),p90p100,Germany,gdp_x_debt,-0.28748979868526914,0.2080885888006983,-1.3815740706503574,0.17611444223617573
Baseline (p=3),p90p100,Ghana,(Intercept),0.03650392437423718,0.010952544398678266,3.3329172697663214,0.002129750172028244
Baseline (p=3),p90p100,Ghana,"L(p90p100, 1)",1.5744357173479353,0.11558705787023126,13.621211114444515,4.227312350764134e-15
Baseline (p=3),p90p100,Ghana,"L(p90p100, 2)",-0.7110209963533936,0.11587594469831163,-6.136053502774623,6.46809878511294e-7
Baseline (p=3),p90p100,Ghana,public_debt,0.004782061106554287,0.0040618723633655375,1.1773046218005787,0.24749557537944547
Baseline (p=3),p90p100,Ghana,growth,0.021190398703240257,0.012066156471081453,1.7561846437203565,0.08833500897040751
Baseline (p=3),p90p100,Ghana,life_exp,4.4482808903054783e-4,3.416520490485543e-4,1.3019915737936363,0.20193441742749482
Baseline (p=3),p90p100,Ghana,gdp_x_debt,-0.03345182487339792,0.02969102712058224,-1.1266644544677487,0.26801080621109974
Baseline (p=3),p90p100,Greece,(Intercept),0.7956122686405799,0.23808799117653098,3.3416732389945323,0.001991154623163631
Baseline (p=3),p90p100,Greece,"L(p90p100, 1)",0.8530317273253377,0.07765152142276624,10.985383308603685,6.853973533014683e-13
Baseline (p=3),p90p100,Greece,public_debt,0.04006904068374611,0.013445713845034367,2.9800604970143696,0.005212032901217679
Baseline (p=3),p90p100,Greece,growth,-0.10323343362572136,0.12394653780429762,-0.8328867869526076,0.41055623627757254
Baseline (p=3),p90p100,Greece,life_exp,-0.010034433015425934,0.0032035539640025584,-3.132281562346087,0.003495848724246818
Baseline (p=3),p90p100,Greece,gdp_x_debt,0.12796550771183912,0.09302065458625515,1.3756676759695419,0.17766509699449096
Baseline (p=3),p90p100,Guatemala,(Intercept),0.05208681423667854,0.05114610963029007,1.018392495796618,0.3154797731403255
Baseline (p=3),p90p100,Guatemala,"L(p90p100, 1)",0.9286087080509995,0.08135836154550646,11.413807879250339,2.387486347510349e-13
Baseline (p=3),p90p100,Guatemala,public_debt,2.815610282280744e-4,0.01022833899198916,0.027527541710202715,0.9781953361228714
Baseline (p=3),p90p100,Guatemala,growth,0.016258417256257297,0.08425621383364629,0.19296401436168942,0.8481025509112804
Baseline (p=3),p90p100,Guatemala,life_exp,-2.1170676336281443e-4,1.546210932002477e-4,-1.36919717084548,0.17966039971289116
