spec,dv,country,ect_coefficient,ecm_r_squared
Baseline (p=2),p99p100,Algeria,0.03418762797694219,0.5280080559707546
Baseline (p=2),p99p100,Argentina,-0.6429846853615104,0.34250403807877183
Baseline (p=2),p99p100,Australia,-0.5043498401685813,0.3388487556709557
Baseline (p=2),p99p100,Austria,-0.8392670951914574,0.44844322126846864
Baseline (p=2),p99p100,Bahamas,-0.4313227830124132,0.46522263633564803
Baseline (p=2),p99p100,Bahrain,-0.29927880288549324,0.6941472474721766
Baseline (p=2),p99p100,Bangladesh,-0.26921722394544545,0.5879022270849786
Baseline (p=2),p99p100,Belgium,-0.6919219404402797,0.5557189472389852
Baseline (p=2),p99p100,Belize,-0.5411044420566465,0.3884045886056937
Baseline (p=2),p99p100,Bolivia,-0.6452921417927373,0.32571731237879714
Baseline (p=2),p99p100,Brazil,-0.4064614976758313,0.35156448545712726
Baseline (p=2),p99p100,Burkina Faso,-0.1761973553347853,0.9009571877929451
Baseline (p=2),p99p100,Canada,-0.06807817709953212,0.3581870246147022
Baseline (p=2),p99p100,Chile,-0.38044069980842,0.4296689582417644
Baseline (p=2),p99p100,Colombia,-0.42046062760343195,0.24477150288569938
Baseline (p=2),p99p100,Costa Rica,-0.36528753277499026,0.3758139106077642
Baseline (p=2),p99p100,Cote d'Ivoire,-0.20195419464681796,0.6068475623069508
Baseline (p=2),p99p100,Cyprus,-0.6992731401845265,0.37616359341171557
Baseline (p=2),p99p100,Denmark,-0.3178004692593085,0.3443632991320409
Baseline (p=2),p99p100,Egypt,-0.25349195268357183,0.4899946082494345
Baseline (p=2),p99p100,El Salvador,-0.882919947377214,0.5273833996114479
Baseline (p=2),p99p100,Finland,-0.03778906987279329,0.5477897603456532
Baseline (p=2),p99p100,France,-0.039596987457994115,0.31906050221195364
Baseline (p=2),p99p100,Germany,-0.22096025686650378,0.5884822759323917
Baseline (p=2),p99p100,Ghana,-0.06994392450614417,0.6221915143902247
Baseline (p=2),p99p100,Greece,-0.5154658743859002,0.6088302368374778
Baseline (p=2),p99p100,Guatemala,-0.5051157917832296,0.3194829132953076
Baseline (p=2),p99p100,Guyana,-0.5611750689095798,0.2846382371421373
Baseline (p=2),p99p100,Haiti,-0.46016275760740855,0.23295727926550955
Baseline (p=2),p99p100,Honduras,-0.6142302277984802,0.3143200939413512
Baseline (p=2),p99p100,Iceland,-0.46457947384890985,0.24574610602799832
Baseline (p=2),p99p100,India,-0.4587557076215535,0.9075990069399742
Baseline (p=2),p99p100,Indonesia,-0.4838973052886165,0.4301822960005582
Baseline (p=2),p99p100,Iran,-0.7391179981327592,0.4018071867624573
Baseline (p=2),p99p100,Ireland,-0.4068844138267259,0.2589609944641844
Baseline (p=2),p99p100,Italy,-0.20040299781014037,0.33032773988028924
Baseline (p=2),p99p100,Jamaica,-0.4247467442299637,0.34458333056242846
Baseline (p=2),p99p100,Japan,-0.3189293269925617,0.2894897145461902
Baseline (p=2),p99p100,Jordan,-0.3393614253525741,0.48174690445264323
Baseline (p=2),p99p100,Kenya,-0.017211277132477165,0.5502789643626352
Baseline (p=2),p99p100,Lebanon,-0.5657974502179768,0.35342621012988557
Baseline (p=2),p99p100,Luxembourg,-0.4020326939975126,0.414252882226795
Baseline (p=2),p99p100,Malaysia,-0.07234684503252442,0.1351756718600302
Baseline (p=2),p99p100,Malta,-0.3720499241188273,0.26059989654829
Baseline (p=2),p99p100,Mauritania,-0.18725398571392982,0.6086599628574704
Baseline (p=2),p99p100,Mexico,-0.09191197600211654,0.24662212448102092
Baseline (p=2),p99p100,Netherlands,-0.5769040155515167,0.37991927658717245
Baseline (p=2),p99p100,New Zealand,-0.42366813375682966,0.23738228232393135
Baseline (p=2),p99p100,Norway,-0.08815492781975698,0.22366458529280137
