year,ifs,iso,country,region,income_group,lending_category,pvd,hhd,gg,cg,pop,emp,hc,ctfp,labsh,pl_c,pl_i,pl_g,pl_x,pl_m,debt,debt_imp,rgdpc,population,growth,log_growth
1992,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5602772547690649,0.46282719098030434,7830933,3594428.539276123,2.994921922683716,0.8085086941719055,0.6329604387283325,0.8342688679695129,0.6867241859436035,1.2087743282318115,0.5395044088363647,0.5180189609527588,0.5602772547690649,0.5602772547690649,28072.4403,7886.768704,0.013819868566411672,0.013725244976531199
1993,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.6062884437996044,0.5004414855867246,7892086,3573315.8588409424,3.0099196434020996,0.8020992875099182,0.6329604387283325,0.7979925274848938,0.6368492245674133,1.1894415616989136,0.5421383380889893,0.5030529499053955,0.6062884437996044,0.6062884437996044,28101.2286,7952.073593,0.0010255004442916266,0.0010249749779243067
1994,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.6372081531491354,0.5272630791055637,7947209,3583720.4456329346,3.0249929428100586,0.8182216286659241,0.6329604387283325,0.8149555921554565,0.6586213707923889,1.2301381826400757,0.5554617047309875,0.5316979289054871,0.6372081531491354,0.6372081531491354,28780.7604,7982.737675,0.024181569057802714,0.023893824432139967
1995,122,AUT,Austria,Europe & Central Asia,High income,NA,1.237090884274199,0.4217796761081358,0.6786475593871173,0.5524811503949218,7990120.999999999,3584954.5001983643,3.0401413440704346,0.8437566757202148,0.6329604387283325,0.9170257449150084,0.7452138662338257,1.4355311393737793,0.6166265606880188,0.5711905360221863,0.6786475593871173,0.6786475593871173,29621.6819,7994.969611,0.029218182157549958,0.028799467570949575
1996,122,AUT,Austria,Europe & Central Asia,High income,NA,1.244877857443377,0.4293451107916697,0.6780722446707805,0.5561167695112544,8017863,3606508.97026062,3.055365562438965,0.8235929012298584,0.6215776801109314,0.8701305389404297,0.7386727333068848,1.4122077226638794,0.6102393865585327,0.565737247467041,0.6780722446707805,0.6780722446707805,30413.1567,8005.771193,0.02671944161280052,0.026368711164536585
1997,122,AUT,Austria,Europe & Central Asia,High income,NA,1.2954116015044206,0.4308677548883606,0.6305580960112079,0.5683437912971231,8032876,3635558.843612671,3.0706663131713867,0.8529042601585388,0.6111128926277161,0.7410165667533875,0.6625228524208069,1.1292595863342283,0.5754681825637817,0.5425589084625244,0.6305580960112079,0.6305580960112079,31173.0488,8014.848707,0.024985637219302557,0.02467860002322274
1998,122,AUT,Austria,Europe & Central Asia,High income,NA,1.2990599276992831,0.42426504966217904,0.6881875723847523,0.5683979248940394,8041050,3672077.178955078,3.086043357849121,0.8842999339103699,0.6078951358795166,0.7089977860450745,0.6782392263412476,1.0581419467926023,0.5380515456199646,0.514611542224884,0.6881875723847523,0.6881875723847523,32376.3295,8023.647594,0.03860003260252168,0.03787368381891654
1999,122,AUT,Austria,Europe & Central Asia,High income,NA,1.3657502111840731,0.4448748249943832,0.6110316574981874,0.5787277545418067,8051112.999999999,3725198.0304718018,3.1014976501464844,0.8938186764717102,0.6079160571098328,0.6789262294769287,0.659684956073761,1.0088742971420288,0.5317549109458923,0.5122053027153015,0.6110316574981874,0.6110316574981874,33608.2965,8039.273853,0.03805147214108989,0.03734537131878051
2000,122,AUT,Austria,Europe & Central Asia,High income,NA,1.4362303751198469,0.4514986442353786,0.6573761834851389,0.5650813833293384,8069276,3759931.087493897,3.117029190063477,0.9221324920654296,0.5963800549507141,0.5915065407752991,0.5920553207397461,0.8525988459587097,0.4971263110637665,0.4913564920425415,0.6573761834851389,0.6573761834851389,34796.2595,8058.629392,0.03534731372058692,0.03473693923887233
2001,122,AUT,Austria,Europe & Central Asia,High income,NA,1.4603559687110303,0.45440199523863506,0.6635455390545288,0.5505634281827457,8097747.999999999,3785838.842391968,3.1332309246063232,0.9130311012268066,0.5884833931922913,0.6011770367622375,0.62114018201828,0.8270582556724548,0.4860222041606903,0.4758545756340027,0.6635455390545288,0.6635455390545288,35272.224,8089.536895,0.013678611058754803,0.013585903310626136
