country,iso,debt_obs,debt_missing,debt_pct_obs,n_from_gg,n_from_cg,max_consec_gap,reason,gini_obs,gini_missing,gini_pct_obs,gini_mean_sd
Russian Federation,RUS,28,8,77.8,22,6,8,debt missing: 8 of 36,NA,NA,NA,NA
Serbia,SRB,20,16,55.6,20,0,16,debt missing: 16 of 36,NA,NA,NA,NA
Slovakia,SVK,27,9,75,27,0,9,debt missing: 9 of 36,NA,NA,NA,NA
Slovenia,SVN,27,9,75,26,1,9,debt missing: 9 of 36,NA,NA,NA,NA
Sudan,SDN,28,8,77.8,0,28,8,debt missing: 8 of 36,NA,NA,NA,NA
Syria,SYR,27,9,75,0,27,9,debt missing: 9 of 36,NA,NA,NA,NA
Tajikistan,TJK,22,14,61.1,22,0,14,debt missing: 14 of 36,NA,NA,NA,NA
Turkmenistan,TKM,23,13,63.9,23,0,13,debt missing: 13 of 36,NA,NA,NA,NA
Ukraine,UKR,25,11,69.4,25,0,11,debt missing: 11 of 36,NA,NA,NA,NA
Uzbekistan,UZB,22,14,61.1,22,0,14,debt missing: 14 of 36,NA,NA,NA,NA
Vietnam,VNM,29,7,80.6,20,9,7,debt missing: 7 of 36,NA,NA,NA,NA
Yemen,YEM,30,6,83.3,30,0,6,debt missing: 6 of 36,NA,NA,NA,NA
Afghanistan,NA,NA,NA,NA,NA,NA,NA,gini missing: 25 of 36,11,25,30.6,3.26
Albania,NA,NA,NA,NA,NA,NA,NA,gini missing: 12 of 36,24,12,66.7,1.88
Algeria,NA,NA,NA,NA,NA,NA,NA,gini missing: 12 of 36,24,12,66.7,3.61
Andorra,NA,NA,NA,NA,NA,NA,NA,gini missing: 20 of 36,16,20,44.4,2.51
Angola,NA,NA,NA,NA,NA,NA,NA,gini missing: 17 of 36,19,17,52.8,3.03
Anguilla,NA,NA,NA,NA,NA,NA,NA,gini missing: 28 of 36,8,28,22.2,3.32
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,gini missing: 35 of 36,1,35,2.8,7.06
Armenia,NA,NA,NA,NA,NA,NA,NA,gini missing: 4 of 36,32,4,88.9,1.22
Austria,NA,NA,NA,NA,NA,NA,NA,gini missing: 10 of 36,26,10,72.2,0.81
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,gini missing: 15 of 36,21,15,58.3,1.59
Bahamas,NA,NA,NA,NA,NA,NA,NA,gini missing: 23 of 36,13,23,36.1,3.54
Bahrain,NA,NA,NA,NA,NA,NA,NA,gini missing: 35 of 36,1,35,2.8,8.21
Belarus,NA,NA,NA,NA,NA,NA,NA,gini missing: 4 of 36,32,4,88.9,1.09
Belize,NA,NA,NA,NA,NA,NA,NA,gini missing: 10 of 36,26,10,72.2,2.58
Benin,NA,NA,NA,NA,NA,NA,NA,gini missing: 18 of 36,18,18,50,2.53
Bhutan,NA,NA,NA,NA,NA,NA,NA,gini missing: 19 of 36,17,19,47.2,2.91
Bolivia,NA,NA,NA,NA,NA,NA,NA,gini missing: 8 of 36,28,8,77.8,1.13
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,gini missing: 21 of 36,15,21,41.7,2.39
Botswana,NA,NA,NA,NA,NA,NA,NA,gini missing: 5 of 36,31,5,86.1,2.83
