dv,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
p99p100,Upper middle income,public_debt:growth,-0.006139193662446976,0.017609393837087976,-0.34863174276430403,0.7310090384313968,-0.04287174553512128,0.030593358210227333,20,812
p99p100,Lower middle income,public_debt,-0.010850689447652639,0.008996978269751018,-1.2060370851549163,0.2390934566327685,-0.02938031305248852,0.007678934157183239,25,1062
p99p100,Lower middle income,growth,0.044197070238869846,0.033176054071022296,1.3321979203510488,0.19481271233350367,-0.024130292148628565,0.11252443262636826,25,1062
p99p100,Lower middle income,life_exp,0.0012959335408480467,0.002500279516870537,0.5183154651725083,0.6087955313283452,-0.0038534885168062137,0.0064453555985023074,25,1062
p99p100,Lower middle income,military_exp,0.17758380198292692,0.34994744973121455,0.5074584830360226,0.616280846843386,-0.5431464621762061,0.8983140661420599,25,1062
p99p100,Lower middle income,nonmil_g,-0.05098045090228117,0.045881927100175614,-1.1111227039564788,0.27708784256540664,-0.14547604863970917,0.043515146835146824,25,1062
p99p100,Lower middle income,composite_inflation,7.794981659947652e-5,9.218150844285598e-5,0.8456122916213528,0.4057900753079876,-1.1190155388953897e-4,2.67801187088492e-4,25,1062
p99p100,Lower middle income,public_debt:growth,-0.023800657626101795,0.03707830132626078,-0.6419025892441553,0.5267789801784455,-0.10016484867813961,0.05256353342593602,25,1062
p99p100,Low income,public_debt,0.001075907722202017,0.006524181757108375,0.16491075237592356,0.8701204292538548,-0.012248248980243428,0.014400064424647464,30,1121
p99p100,Low income,growth,0.02292157724236507,0.015393706654700518,1.4890226088182532,0.14691973099086092,-0.008516565858910863,0.054359720343641005,30,1121
p99p100,Low income,life_exp,-0.0015273885386867987,0.001967669311883325,-0.7762424963699218,0.4436830061925435,-0.005545905377455323,0.0024911283000817264,30,1121
p99p100,Low income,military_exp,0.5742116405571656,0.31204978160587094,1.8401283205588448,0.07566217683590205,-0.06307903341132126,1.2115023145256525,30,1121
