spec,iso,country,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
ctrl,JOR,Jordan,Lower middle income,d_gov,-0.24356343422846957,0.09133480500426915,-2.666709960316716,0.018417976578250762,-0.4225796520368371,-0.06454721642010205
ctrl,JOR,Jordan,Lower middle income,"L(d_gov, 1)",0.20939856071371551,0.09986722480933614,2.0967695969673104,0.05465876171595799,0.013658800087416684,0.4051383213400144
ctrl,JOR,Jordan,Lower middle income,"L(d_gov, 2)",-0.16857761063816554,0.0848678435765403,-1.986354354416103,0.06693059712604305,-0.33491858404818453,-0.002236637228146543
ctrl,JOR,Jordan,Lower middle income,d_log_gdp,-0.012656016061090783,0.0233515952318925,-0.5419765089027321,0.5963560546477618,-0.058425142715600085,0.03311311059341852
ctrl,JOR,Jordan,Lower middle income,"L(d_log_gdp, 1)",0.032273391829632576,0.025123821682777915,1.2845733518223308,0.2197904699019052,-0.01696929866861214,0.0815160823278773
ctrl,JOR,Jordan,Lower middle income,"L(d_log_gdp, 2)",-0.04060497061755619,0.02179944100370559,-1.8626610934956511,0.08362654126348343,-0.08333187498481914,0.0021219337497067683
ctrl,JPN,Japan,High income,(Intercept),-0.001220311249882095,0.0032955298932259465,-0.370292878359404,0.7147054322052375,-0.00767954984060495,0.00523892734084076
ctrl,JPN,Japan,High income,"L(dy, 1)",0.1791904932537596,0.15588940871000684,1.1494718899543623,0.2627048130662195,-0.1263527478178538,0.48473373432537303
ctrl,JPN,Japan,High income,dd,-0.1151525250032233,0.05635053373845092,-2.043503714404904,0.05315941282322694,-0.2255995711305871,-0.004705478875859495
ctrl,JPN,Japan,High income,"L(dd, 1)",0.2119728816575305,0.04885662836853981,4.338671921004396,2.6380320501382504e-4,0.11621389005519248,0.3077318732598685
ctrl,JPN,Japan,High income,d_inf,-0.02511317176158586,0.2160497249111325,-0.11623792519021088,0.9085185244523991,-0.44857063258740554,0.39834428906423386
ctrl,JPN,Japan,High income,d_gov,-0.29330664149626634,0.6328816616883419,-0.46344626373564146,0.6475968416924333,-1.5337546984054165,0.9471414154128837
ctrl,JPN,Japan,High income,d_log_gdp,-0.11744077765295499,0.0954343061765022,-1.2305928796270875,0.23147088743384875,-0.30449201775889934,0.06961046245298932
ctrl,KAZ,Kazakhstan,Upper middle income,(Intercept),0.008111526702111944,0.0035873005353395894,2.2611784605730203,0.03351385760134948,0.0010804176528463492,0.015142635751377538
ctrl,KAZ,Kazakhstan,Upper middle income,"L(dy, 1)",-0.01939782601702949,0.2235407397253525,-0.08677535039412558,0.9316011265555375,-0.45753767587872035,0.41874202384466136
ctrl,KAZ,Kazakhstan,Upper middle income,dd,-0.010982441542173264,0.01218964767756314,-0.9009646408721131,0.37694495734039435,-0.034874150990197014,0.01290926790585049
ctrl,KAZ,Kazakhstan,Upper middle income,d_inf,7.063160831404032e-4,8.93123102183802e-4,0.7908384425544123,0.43711764788943996,-0.0010442051971398486,0.002456837363420655
ctrl,KAZ,Kazakhstan,Upper middle income,d_gov,-0.049128139730659444,0.09978749489203019,-0.4923276186441594,0.6271545185016731,-0.2447116297190386,0.14645535025771972
ctrl,KAZ,Kazakhstan,Upper middle income,d_log_gdp,-0.07907205538816549,0.03258710491190988,-2.4264829785252378,0.023491943356660914,-0.14294278101550884,-0.015201329760822127
ctrl,KEN,Kenya,Low income,(Intercept),-0.0026926716322134133,0.002267422943117558,-1.1875471404162323,0.25044718526829046,-0.007136820600723827,0.0017514773362970002
ctrl,KEN,Kenya,Low income,"L(dy, 1)",0.5899293650025431,0.10869838264314376,5.427213824692114,3.718076896326226e-5,0.3768805350219814,0.8029781949831049
ctrl,KEN,Kenya,Low income,dd,-0.10361395754125234,0.01876675839481206,-5.52114304247108,3.048740332474709e-5,-0.14039680399508397,-0.06683111108742071
ctrl,KEN,Kenya,Low income,d_inf,-0.0028980612848827545,0.026692554048311657,-0.10857189910105515,0.9147432040418451,-0.05521546721957361,0.04941934464980809
ctrl,KEN,Kenya,Low income,"L(d_inf, 1)",-0.02200399164498276,0.027693114786318876,-0.7945654295216119,0.43721783420882443,-0.07628249662616775,0.03227451333620224
ctrl,KEN,Kenya,Low income,"L(d_inf, 2)",-0.04674435455108217,0.02247394598306779,-2.0799353431880663,0.05209487554002297,-0.09079328867789503,-0.002695420424269304
ctrl,KEN,Kenya,Low income,d_gov,0.19511097129044608,0.41750796199320295,0.4673227556163887,0.6458765432381341,-0.6232046342162317,1.0134265767971238
ctrl,KEN,Kenya,Low income,"L(d_gov, 1)",0.7748762412894362,0.4295387583984781,1.803972810692423,0.08799757017323215,-0.06701972517158084,1.6167722077504534
ctrl,KEN,Kenya,Low income,d_log_gdp,-0.18799139010330623,0.05085033096428902,-3.6969550942613947,0.0016498094374525535,-0.2876580387933127,-0.08832474141329975
ctrl,KEN,Kenya,Low income,"L(d_log_gdp, 1)",0.20582210489491534,0.059913578623509774,3.435316494584282,0.002951282342283226,0.08839149079283619,0.3232527189969945
ctrl,KGZ,Kyrgyzstan,Low income,(Intercept),0.00613705891253729,0.004105230968296871,1.4949363287794155,0.1485260970904814,-0.001909193785324578,0.014183311610399157
