spec,iso,country,income_group,variable,sum_beta,lr_multiplier
ctrl,CAF,Central African Republic,Low income,dd,0.0028822837179903857,0.0800663801062967
ctrl,CAF,Central African Republic,Low income,d_inf,0.0036584996094193574,0.10162872534656055
ctrl,CAF,Central African Republic,Low income,d_gov,-0.01476382139739242,-0.4101212272916989
ctrl,CAF,Central African Republic,Low income,d_log_gdp,-0.003524126678505127,-0.09789600670563603
ctrl,CAN,Canada,High income,dd,-0.02482773840346107,-0.02608699408771167
ctrl,CAN,Canada,High income,d_inf,0.13290692226677353,0.1396479227808339
ctrl,CAN,Canada,High income,d_gov,-0.41285168061875555,-0.43379139800755756
ctrl,CAN,Canada,High income,d_log_gdp,-0.00633082324983435,-0.006651920767207435
ctrl,CHE,Switzerland,High income,dd,-0.05544258100215427,-0.0678191940280716
ctrl,CHE,Switzerland,High income,d_inf,-0.31676718709071183,-0.3874800728017461
ctrl,CHE,Switzerland,High income,d_gov,-0.9368003017392692,-1.1459250323635346
ctrl,CHE,Switzerland,High income,d_log_gdp,-0.19694943514270152,-0.24091504605716285
ctrl,CHL,Chile,Upper middle income,dd,0.024874187006983125,0.03898425286788825
ctrl,CHL,Chile,Upper middle income,d_inf,0.08360315052814331,0.1310276536807527
ctrl,CHL,Chile,Upper middle income,d_gov,-0.33375307992205977,-0.5230769737103521
ctrl,CHL,Chile,Upper middle income,d_log_gdp,0.14925082690209623,0.2339144581915093
ctrl,CHN,China,Lower middle income,dd,0.029611367387720338,0.03226552866478186
ctrl,CHN,China,Lower middle income,d_inf,0.05542453344765065,0.06039241110590967
ctrl,CHN,China,Lower middle income,d_gov,0.04359125376515976,0.04749847683416361
ctrl,CHN,China,Lower middle income,d_log_gdp,0.08994657719557737,0.09800877571112879
ctrl,CIV,Cote d'Ivoire,Lower middle income,dd,-0.014624460842945705,-0.025382357475327362
ctrl,CIV,Cote d'Ivoire,Lower middle income,d_inf,0.03765795576951022,0.06535951686675959
ctrl,CIV,Cote d'Ivoire,Lower middle income,d_gov,0.09948619818278112,0.1726692199633926
ctrl,CIV,Cote d'Ivoire,Lower middle income,d_log_gdp,-0.055394311193904686,-0.09614290905646872
ctrl,CMR,Cameroon,Lower middle income,dd,-0.001358665195127232,-0.006489180900964694
ctrl,CMR,Cameroon,Lower middle income,d_inf,0.001361117716914621,0.0065008944986920825
ctrl,CMR,Cameroon,Lower middle income,d_gov,-0.044522992568003704,-0.21264823303214667
ctrl,CMR,Cameroon,Lower middle income,d_log_gdp,-0.02181734184052802,-0.10420277084386076
ctrl,COD,DR Congo,Low income,dd,9.974168608926071e-5,0.0012568384269148376
ctrl,COD,DR Congo,Low income,d_inf,5.490258424676469e-7,6.91823853433863e-6
ctrl,COD,DR Congo,Low income,d_gov,-0.002840841627274688,-0.03579725851779583
ctrl,COD,DR Congo,Low income,d_log_gdp,0.0028644584111459544,0.03609485205820367
ctrl,COG,Congo,Lower middle income,dd,-6.275091843885573e-4,-0.002410621168925577
ctrl,COG,Congo,Lower middle income,d_inf,-4.995324617755256e-4,-0.0019189894855402645
ctrl,COG,Congo,Lower middle income,d_gov,-6.217240125487043e-4,-0.0023883970197816715
ctrl,COG,Congo,Lower middle income,d_log_gdp,-3.6882860433873474e-4,-0.0014168813197380874
ctrl,COL,Colombia,Lower middle income,dd,0.006162096996556473,0.004336298633706063
ctrl,COL,Colombia,Lower middle income,d_inf,-0.03339703859472414,-0.023501663948013077
ctrl,COL,Colombia,Lower middle income,d_gov,0.3254790597804159,0.2290412505701324
ctrl,COL,Colombia,Lower middle income,d_log_gdp,0.01467633733703253,0.01032781236289327
ctrl,COM,Comoros,Low income,dd,0.011570718356637555,0.054511771873767066
ctrl,COM,Comoros,Low income,d_inf,-0.011250133934262385,-0.05300143998596567
ctrl,COM,Comoros,Low income,d_gov,0.09058349302246572,0.42675541439801873
ctrl,COM,Comoros,Low income,d_log_gdp,-0.0062536832008167256,-0.029462246120455733
ctrl,CPV,Cabo Verde,Lower middle income,dd,0.004995127609042103,0.03387299122453056
ctrl,CPV,Cabo Verde,Lower middle income,d_inf,-0.002704438997836343,-0.018339358993584527
ctrl,CPV,Cabo Verde,Lower middle income,d_gov,-0.025364131810814133,-0.17199941252557938
ctrl,CPV,Cabo Verde,Lower middle income,d_log_gdp,0.0014293643292934278,0.009692814512920525
ctrl,CRI,Costa Rica,Upper middle income,dd,0.013039574320951987,0.009121168695463816
ctrl,CRI,Costa Rica,Upper middle income,d_inf,-0.002800961604730343,-0.001959269733614839
ctrl,CRI,Costa Rica,Upper middle income,d_gov,0.4387512967176288,0.3069060763958145
ctrl,CRI,Costa Rica,Upper middle income,d_log_gdp,0.03935119202192465,0.027526117951782957
ctrl,CYP,Cyprus,High income,dd,0.06215022064175941,0.0449787059880561
ctrl,CYP,Cyprus,High income,d_inf,0.11276420406280202,0.08160852734141397
ctrl,CYP,Cyprus,High income,d_gov,0.5330772888045219,0.38579310571165004
ctrl,CYP,Cyprus,High income,d_log_gdp,0.034440697403593026,0.024925060386655526
ctrl,CZE,Czech Republic,High income,dd,-0.025101307532000544,-0.02203656656202998
ctrl,CZE,Czech Republic,High income,d_inf,-0.04760376119713469,-0.04179158599153789
ctrl,CZE,Czech Republic,High income,d_gov,-0.20772582657514502,-0.18236356803884204
ctrl,CZE,Czech Republic,High income,d_log_gdp,-0.18092926743118298,-0.15883873139611
ctrl,DEU,Germany,High income,dd,0.029279582134039625,0.04568883027009992
ctrl,DEU,Germany,High income,d_inf,0.24340646513581451,0.3798195145451311
ctrl,DEU,Germany,High income,d_gov,-4.4587155727833195e-5,-6.957527538984813e-5
ctrl,DEU,Germany,High income,d_log_gdp,-0.036066794182381005,-0.05627982087455029
ctrl,DJI,Djibouti,Lower middle income,dd,-0.007572193856987774,-0.017941522209903617
ctrl,DJI,Djibouti,Lower middle income,d_inf,0.07341868723321734,0.17395790869790762
ctrl,DJI,Djibouti,Lower middle income,d_gov,0.0016955755405619996,0.004017489091551604
ctrl,DJI,Djibouti,Lower middle income,d_log_gdp,0.00107203700331689,0.0025400796741487275
ctrl,DMA,Dominica,Upper middle income,dd,-0.003763130434728937,-0.031677417287724205
